partition_alpha,batch_size,lr,wd,epochs,client_num_in_total,cut_layer,num_ln,agg_type,ln_upscale,random_seed,db_id,config_id
1.3292918943162162, 8.0, 0.001, 0.001, 15.0, 15.0, 3.0, 5.0, 0.0, 2.0, 0.0, 0.0, 0.0
1.3292918943162162, 8.0, 0.001, 0.001, 15.0, 15.0, 3.0, 5.0, 0.0, 2.0, 0.0, 1.0, 1.0
1.3292918943162162, 8.0, 0.001, 0.001, 15.0, 15.0, 3.0, 5.0, 0.0, 2.0, 0.0, 2.0, 2.0
1.3292918943162162, 8.0, 0.001, 0.001, 15.0, 15.0, 3.0, 5.0, 0.0, 2.0, 0.0, 3.0, 3.0
1.3292918943162162, 8.0, 0.001, 0.001, 15.0, 15.0, 3.0, 5.0, 0.0, 2.0, 0.0, 4.0, 4.0
15.702970884055382, 8.0, 0.001, 0.001, 15.0, 7.0, 3.0, 5.0, 0.0, 2.0, 0.0, 0.0, 5.0
15.702970884055382, 8.0, 0.001, 0.001, 15.0, 7.0, 3.0, 5.0, 0.0, 2.0, 0.0, 1.0, 6.0
15.702970884055382, 8.0, 0.001, 0.001, 15.0, 7.0, 3.0, 5.0, 0.0, 2.0, 0.0, 2.0, 7.0
15.702970884055382, 8.0, 0.001, 0.001, 15.0, 7.0, 3.0, 5.0, 0.0, 2.0, 0.0, 3.0, 8.0
15.702970884055382, 8.0, 0.001, 0.001, 15.0, 7.0, 3.0, 5.0, 0.0, 2.0, 0.0, 4.0, 9.0
2.1751953118777645, 8.0, 0.001, 0.001, 15.0, 11.0, 3.0, 5.0, 0.0, 2.0, 0.0, 0.0, 10.0
2.1751953118777645, 8.0, 0.001, 0.001, 15.0, 11.0, 3.0, 5.0, 0.0, 2.0, 0.0, 1.0, 11.0
2.1751953118777645, 8.0, 0.001, 0.001, 15.0, 11.0, 3.0, 5.0, 0.0, 2.0, 0.0, 2.0, 12.0
2.1751953118777645, 8.0, 0.001, 0.001, 15.0, 11.0, 3.0, 5.0, 0.0, 2.0, 0.0, 3.0, 13.0
